Month,Week,Day,USD,EUR,AUD
6,21,113,199.8,214.28,143.84
6,21,114,202.25,213.872,143
6,21,115,200,211.982,142.15
6,22,116,201.96,211.742,140.82
6,22,117,201.6,214.289,141.33
6,22,118,203.5,215.627,144.59
6,22,119,205.75,219.662,146.73
6,22,120,206.5,218.883,144.55
6,23,121,208.25,220.037,145.48
6,23,122,208.5,222.604,147.37
6,23,123,209.38,223.186,146.31
6,23,124,211.5,219.32,143.57
6,23,125,211.25,219.523,144.52
6,24,126,208.4,218.804,143.13
6,24,127,208,217.239,142.64
6,24,128,206.75,213.634,140.82
6,24,129,206.54,214.357,141.13
6,24,130,204.65,213.253,139.35
7,25,136,207.06,207.667,139.22
7,25,137,206.86,207.625,139.78
7,25,138,209.99,211.25,141.95
7,25,139,209.4,209.735,141.28
7,25,140,210.7,212.533,143.11
7,26,141,215.5,218.56,146.8
7,26,142,221.5,226.462,152.79
7,26,143,224.75,228.728,154.79
7,26,144,227,232.176,157.29
7,26,145,228,232.788,157.89
7,27,146,229.75,234.805,159.75
7,27,147,232.29,234.938,161.16
7,27,148,235.25,240.002,164.44
7,27,149,239.7,244.35,167.38
7,27,150,239.66,244.885,167.4
7,28,151,239.2,245.443,167.99
7,28,152,238.25,242.205,164.82
7,28,153,228.65,231.97,158.52
7,28,154,225.4,230.945,157.06
7,28,155,223.88,227.932,154.68
8,29,156,224.05,228.419,156.57
8,29,157,224.15,228.88,156.1
8,29,158,224.15,230.807,158.63
8,29,159,219.3,226.252,155.81
8,29,160,219.3,224.958,156.16
8,30,161,213.59,217.007,149.98
8,30,162,213.4,217.028,149.85
8,30,163,214,217.852,148.34
8,30,164,214.65,216.539,148.49
8,30,165,214.5,215.229,147.4
8,31,166,216.3,215.024,148.71
8,31,167,216.8,216.085,150.24
8,31,168,219,218.234,151.29
8,31,169,216.1,215.517,150.84
8,31,170,220.3,219.441,151.79
8,32,171,222.5,222.389,153.59
8,32,172,219.7,219.964,150.52
8,32,173,218.25,219.494,149.26
8,32,174,217.7,216.481,147.71
8,32,175,218.8,217.728,149
9,33,176,219.28,217.679,149
9,33,177,222,219.847,149.52
9,33,178,224.25,224.25,151.77
9,33,179,223,222.889,150.53
9,33,180,229.75,230.646,157.17
9,34,181,231,233.726,159.11
9,34,182,233.6,232.852,157.21
9,34,183,233.75,233.329,157.73
9,34,184,235.7,235.7,157.97
9,34,185,238.25,238.607,160.1
9,35,186,239.5,240.003,161.09
9,35,187,238.5,237.761,159.51
9,35,188,237.8,233.876,157.69
9,35,189,239,234.985,158.77
9,35,190,239.4,231.979,156.26
9,36,191,239,229.607,154.25
9,36,192,236.4,226.755,152.1
9,36,193,231.5,225.342,150.98
9,36,194,229,224.764,148.83
9,36,195,227.65,223.074,145.74
